"spp","area_code","abundance","region","altitude","life_form","indumentum","thickness","grad","site","ab.rare","combined","fixed"
"sp025","PR010",0,"PR",10,"hemi","ausente","coriacea",0.0081428571,6,"abundant",-4.57726332290252,-4.32257896412819
"sp025","GR50",0,"GR",50,"hemi","ausente","coriacea",0.0367142857,7,"abundant",-4.64482441373128,-4.02584548057522
"sp025","MR50",3,"MR",50,"hemi","ausente","coriacea",0.0367142857,8,"abundant",1.11648513318691,-4.05877611358605
"sp025","PR50",0,"PR",50,"hemi","ausente","coriacea",0.0367142857,9,"abundant",-4.24555649518193,-4.07714829886881
"sp025","GR200",8,"GR",200,"hemi","ausente","coriacea",0.1438571429,10,"abundant",2.05887006222245,-3.31501169786985
"sp025","MR200",0,"MR",200,"hemi","ausente","coriacea",0.1438571429,11,"abundant",-3.93611069120414,-3.25368044311868
"sp025","PR200",0,"PR",200,"hemi","ausente","coriacea",0.1438571429,12,"abundant",-4.12195406663813,-3.31207803093861
"sp025","GR400",18,"GR",400,"hemi","ausente","coriacea",0.2867142857,13,"abundant",2.92540597677096,-2.73795801371633
"sp025","MR400",0,"MR",400,"hemi","ausente","coriacea",0.2867142857,14,"abundant",-3.54333498108141,-2.7337363743572
"sp025","PR400",1,"PR",400,"hemi","ausente","coriacea",0.2867142857,15,"abundant",-0.120401076714404,-2.74481128946842
"sp025","GR600",1,"GR",600,"hemi","ausente","coriacea",0.4295714286,16,"abundant",-0.141486165722411,-2.75645108062807
"sp025","MR600",0,"MR",600,"hemi","ausente","coriacea",0.4295714286,17,"abundant",-3.52789123762599,-2.70841805699244
"sp025","PR600",12,"PR",600,"hemi","ausente","coriacea",0.4295714286,18,"abundant",2.4825332540372,-2.751002695781
"sp025","GR800",57,"GR",800,"hemi","ausente","coriacea",0.5724285714,19,"abundant",4.0395847007775,-3.33141765652971
"sp025","MR800",33,"MR",800,"hemi","ausente","coriacea",0.5724285714,20,"abundant",3.55839253752045,-3.39240544795864
"sp025","PR800",0,"PR",800,"hemi","ausente","coriacea",0.5724285714,21,"abundant",-4.15962139806739,-3.23555198758439
"sp025","GR1000",0,"GR",1000,"hemi","ausente","coriacea",0.7152857143,22,"abundant",-4.61957156405132,-4.35553271854891
"sp025","MR1000",10,"MR",1000,"hemi","ausente","coriacea",0.7152857143,23,"abundant",2.37624785048448,-4.41127755018736
"sp025","PR1000",2,"PR",1000,"hemi","ausente","coriacea",0.7152857143,24,"abundant",0.640120014014171,-4.42529783729786
"sp025","GR1200",0,"GR",1200,"hemi","ausente","coriacea",0.8581428571,25,"abundant",-6.3423391351441,-6.12398430243871
"sp025","MR1200",0,"MR",1200,"hemi","ausente","coriacea",0.8581428571,26,"abundant",-5.95999696018806,-6.06797556779449
"sp025","PR1200",0,"PR",1200,"hemi","ausente","coriacea",0.8581428571,27,"abundant",-6.72670943141682,-6.06520782178463
"sp025","GR1400",0,"GR",1400,"hemi","ausente","coriacea",1.001,28,"abundant",-8.10606857456838,-8.2603472874922
"sp025","MR1400",0,"MR",1400,"hemi","ausente","coriacea",1.001,29,"abundant",-8.18362078028189,-8.27781336626063
"sp025","PR1400",2,"PR",1400,"hemi","ausente","coriacea",1.001,30,"abundant",0.469038994359874,-8.2405656184919
"sp030","GR00",101,"GR",0,"ter","ausente","coriacea",0.001,1,"abundant",4.63195787683241,-5.75110662576973
"sp030","MR00",277,"MR",0,"ter","ausente","coriacea",0.001,2,"abundant",5.7241540081868,-5.80906025851801
"sp030","PR00",399,"PR",0,"ter","ausente","coriacea",0.001,3,"abundant",5.97220796535675,-5.81643903012153
"sp030","GR010",0,"GR",10,"ter","ausente","coriacea",0.0081428571,4,"abundant",-6.14281261793117,-5.80450451434562
"sp030","MR010",0,"MR",10,"ter","ausente","coriacea",0.0081428571,5,"abundant",-5.66585376898813,-5.79398397021288
"sp030","PR010",51,"PR",10,"ter","ausente","coriacea",0.0081428571,6,"abundant",3.95269698699472,-5.75742737234788
"sp030","GR50",0,"GR",50,"ter","ausente","coriacea",0.0367142857,7,"abundant",-5.66889434434919,-5.79334130421764
"sp030","MR50",0,"MR",50,"ter","ausente","coriacea",0.0367142857,8,"abundant",-5.98888808394015,-5.83599530832813
"sp030","PR50",0,"PR",50,"ter","ausente","coriacea",0.0367142857,9,"abundant",-5.95893003743168,-5.83096128727224
"sp030","GR200",0,"GR",200,"ter","ausente","coriacea",0.1438571429,10,"abundant",-5.81557159743848,-5.58505107640598
"sp030","MR200",0,"MR",200,"ter","ausente","coriacea",0.1438571429,11,"abundant",-6.07822236506105,-5.6595512012488
"sp030","PR200",0,"PR",200,"ter","ausente","coriacea",0.1438571429,12,"abundant",-6.06211348390746,-5.55315521670559
"sp030","GR400",0,"GR",400,"ter","ausente","coriacea",0.2867142857,13,"abundant",-5.62219481241441,-5.32641871514729
"sp030","MR400",0,"MR",400,"ter","ausente","coriacea",0.2867142857,14,"abundant",-5.54198549284877,-5.31524377979285
"sp030","PR400",0,"PR",400,"ter","ausente","coriacea",0.2867142857,15,"abundant",-5.52057175663286,-5.44244668124426
"sp030","GR600",0,"GR",600,"ter","ausente","coriacea",0.4295714286,16,"abundant",-5.49929685298154,-5.18602192098488
"sp030","MR600",0,"MR",600,"ter","ausente","coriacea",0.4295714286,17,"abundant",-5.30659554879976,-5.25285841857658
"sp030","PR600",0,"PR",600,"ter","ausente","coriacea",0.4295714286,18,"abundant",-5.59141982722361,-5.31320709585278
"sp030","GR800",0,"GR",800,"ter","ausente","coriacea",0.5724285714,19,"abundant",-4.84577760824087,-4.99068493509919
"sp030","MR800",0,"MR",800,"ter","ausente","coriacea",0.5724285714,20,"abundant",-5.49354452250467,-4.99235774642183
"sp030","PR800",0,"PR",800,"ter","ausente","coriacea",0.5724285714,21,"abundant",-5.36791034414073,-5.01378801681911
"sp030","GR1000",0,"GR",1000,"ter","ausente","coriacea",0.7152857143,22,"abundant",-5.37693641119013,-4.92004954798997
"sp030","MR1000",0,"MR",1000,"ter","ausente","coriacea",0.7152857143,23,"abundant",-5.27807476171568,-4.94674511367373
"sp030","PR1000",0,"PR",1000,"ter","ausente","coriacea",0.7152857143,24,"abundant",-5.29036897535081,-5.00975569692146
"sp030","GR1200",0,"GR",1200,"ter","ausente","coriacea",0.8581428571,25,"abundant",-5.11588234757258,-4.84577149021408
"sp030","MR1200",0,"MR",1200,"ter","ausente","coriacea",0.8581428571,26,"abundant",-5.14252748147343,-4.80691103370107
"sp030","PR1200",0,"PR",1200,"ter","ausente","coriacea",0.8581428571,27,"abundant",-5.06105192584493,-4.83389331998246
"sp030","GR1400",0,"GR",1400,"ter","ausente","coriacea",1.001,28,"abundant",-5.03218983435236,-4.74120201648586
"sp030","MR1400",0,"MR",1400,"ter","ausente","coriacea",1.001,29,"abundant",-4.7971050728457,-4.71827987866314
"sp030","PR1400",0,"PR",1400,"ter","ausente","coriacea",1.001,30,"abundant",-5.05522738298901,-4.79052005108368
"sp031","GR00",0,"GR",0,"hemi","ausente","coriacea",0.001,1,"abundant",-4.69470376644092,-4.39434237996139
"sp031","MR00",0,"MR",0,"hemi","ausente","coriacea",0.001,2,"abundant",-5.06677013330345,-4.33030688972428
"sp031","PR00",0,"PR",0,"hemi","ausente","coriacea",0.001,3,"abundant",-4.80586288102193,-4.29941802424418
"sp031","GR010",98,"GR",10,"hemi","ausente","coriacea",0.0081428571,4,"abundant",4.60035494604953,-4.23683073068131
"sp031","MR010",80,"MR",10,"hemi","ausente","coriacea",0.0081428571,5,"abundant",4.360309814474,-4.28940185585104
"sp031","PR010",0,"PR",10,"hemi","ausente","coriacea",0.0081428571,6,"abundant",-4.48355948130852,-4.35030328045442
"sp031","GR50",11,"GR",50,"hemi","ausente","coriacea",0.0367142857,7,"abundant",2.40924814650536,-4.04717110398062
"sp031","MR50",0,"MR",50,"hemi","ausente","coriacea",0.0367142857,8,"abundant",-4.14335412696752,-4.02528601225084
"sp031","PR50",34,"PR",50,"hemi","ausente","coriacea",0.0367142857,9,"abundant",3.57521921055328,-4.03110155228289
"sp031","GR200",0,"GR",200,"hemi","ausente","coriacea",0.1438571429,10,"abundant",-4.2523111101663,-3.2019827375325
"sp031","MR200",2,"MR",200,"hemi","ausente","coriacea",0.1438571429,11,"abundant",0.703026466988936,-3.24882801130042
"sp031","PR200",0,"PR",200,"hemi","ausente","coriacea",0.1438571429,12,"abundant",-4.42601382096849,-3.26328721828542
"sp031","GR400",0,"GR",400,"hemi","ausente","coriacea",0.2867142857,13,"abundant",-3.39056456055231,-2.70918569300304
"sp031","MR400",0,"MR",400,"hemi","ausente","coriacea",0.2867142857,14,"abundant",-3.74311487547345,-2.75283973026504
"sp031","PR400",0,"PR",400,"hemi","ausente","coriacea",0.2867142857,15,"abundant",-3.7078059322157,-2.7728256455442
"sp031","GR600",0,"GR",600,"hemi","ausente","coriacea",0.4295714286,16,"abundant",-3.74830973668133,-2.76370921172548
"sp031","MR600",0,"MR",600,"hemi","ausente","coriacea",0.4295714286,17,"abundant",-3.94434963897649,-2.77100636048953
"sp031","PR600",0,"PR",600,"hemi","ausente","coriacea",0.4295714286,18,"abundant",-3.63805432155362,-2.73346598239537
"sp031","GR800",0,"GR",800,"hemi","ausente","coriacea",0.5724285714,19,"abundant",-4.26173906539487,-3.25326079488741
"sp031","MR800",0,"MR",800,"hemi","ausente","coriacea",0.5724285714,20,"abundant",-4.31319488559569,-3.28833780336325
"sp031","PR800",0,"PR",800,"hemi","ausente","coriacea",0.5724285714,21,"abundant",-4.16002938358341,-3.3779423788203
"sp031","GR1000",0,"GR",1000,"hemi","ausente","coriacea",0.7152857143,22,"abundant",-4.93849230870113,-4.423892167732
"sp031","MR1000",1,"MR",1000,"hemi","ausente","coriacea",0.7152857143,23,"abundant",-0.0431176649869803,-4.51811157528911
"sp031","PR1000",8,"PR",1000,"hemi","ausente","coriacea",0.7152857143,24,"abundant",2.08125956796905,-4.44593963022201
"sp031","GR1200",0,"GR",1200,"hemi","ausente","coriacea",0.8581428571,25,"abundant",-6.46199840407813,-6.12718417122559
"sp031","MR1200",3,"MR",1200,"hemi","ausente","coriacea",0.8581428571,26,"abundant",1.05134235651899,-6.1460904431746
"sp031","PR1200",0,"PR",1200,"hemi","ausente","coriacea",0.8581428571,27,"abundant",-6.59696400501006,-6.1322278994587
"sp031","GR1400",0,"GR",1400,"hemi","ausente","coriacea",1.001,28,"abundant",-8.34215051205222,-8.26681303247067
"sp031","MR1400",5,"MR",1400,"hemi","ausente","coriacea",1.001,29,"abundant",1.44397807345211,-8.27313713341682
"sp031","PR1400",0,"PR",1400,"hemi","ausente","coriacea",1.001,30,"abundant",-8.15950266522658,-8.32245779839534
"sp032","GR00",0,"GR",0,"hemi","ausente","membranacea",0.001,1,"abundant",-4.68253207744062,-4.64519719301935
"sp032","MR00",0,"MR",0,"hemi","ausente","membranacea",0.001,2,"abundant",-5.11572464818371,-4.67650622113045
"sp032","PR00",0,"PR",0,"hemi","ausente","membranacea",0.001,3,"abundant",-5.09948349409942,-4.67510949991258
"sp032","GR010",0,"GR",10,"hemi","ausente","membranacea",0.0081428571,4,"abundant",-4.59257255692328,-4.49335434363668
"sp032","MR010",0,"MR",10,"hemi","ausente","membranacea",0.0081428571,5,"abundant",-4.68643610325251,-4.43584339347194
"sp032","PR010",0,"PR",10,"hemi","ausente","membranacea",0.0081428571,6,"abundant",-4.75005441428319,-4.42533033241855
"sp032","GR50",3,"GR",50,"hemi","ausente","membranacea",0.0367142857,7,"abundant",1.11760031547706,-3.82156058531596
"sp032","MR50",35,"MR",50,"hemi","ausente","membranacea",0.0367142857,8,"abundant",3.56804544079139,-3.89653814510528
"sp032","PR50",0,"PR",50,"hemi","ausente","membranacea",0.0367142857,9,"abundant",-4.31296350815565,-3.81273727219025
"sp032","GR200",13,"GR",200,"hemi","ausente","membranacea",0.1438571429,10,"abundant",2.59256961479179,-1.67745633886281
"sp032","MR200",59,"MR",200,"hemi","ausente","membranacea",0.1438571429,11,"abundant",4.13367133880263,-1.76697430988038
"sp032","PR200",9,"PR",200,"hemi","ausente","membranacea",0.1438571429,12,"abundant",2.1896002474969,-1.75048236320641
"sp032","GR400",49,"GR",400,"hemi","ausente","membranacea",0.2867142857,13,"abundant",3.88751915364108,-0.207480108294814
"sp032","MR400",9,"MR",400,"hemi","ausente","membranacea",0.2867142857,14,"abundant",2.18580754303357,-0.224994287649709
"sp032","PR400",2,"PR",400,"hemi","ausente","membranacea",0.2867142857,15,"abundant",0.708630555966372,-0.181096199397586
"sp032","GR600",169,"GR",600,"hemi","ausente","membranacea",0.4295714286,16,"abundant",5.13705320821883,0.000400140471172206
"sp032","MR600",12,"MR",600,"hemi","ausente","membranacea",0.4295714286,17,"abundant",2.49061924214661,-0.00627431927982944
"sp032","PR600",9,"PR",600,"hemi","ausente","membranacea",0.4295714286,18,"abundant",2.17238844470527,0.072259959457554
"sp032","GR800",275,"GR",800,"hemi","ausente","membranacea",0.5724285714,19,"abundant",5.66582271100356,-0.98906800490562
"sp032","MR800",36,"MR",800,"hemi","ausente","membranacea",0.5724285714,20,"abundant",3.51419096570258,-0.988291643619164
"sp032","PR800",0,"PR",800,"hemi","ausente","membranacea",0.5724285714,21,"abundant",-3.25002540199471,-1.01233035435246
"sp032","GR1000",0,"GR",1000,"hemi","ausente","membranacea",0.7152857143,22,"abundant",-4.29431115153395,-3.31270961940993
"sp032","MR1000",151,"MR",1000,"hemi","ausente","membranacea",0.7152857143,23,"abundant",5.01898801973737,-3.29773573107138
"sp032","PR1000",0,"PR",1000,"hemi","ausente","membranacea",0.7152857143,24,"abundant",-4.01402091979668,-3.41254106808207
"sp032","GR1200",0,"GR",1200,"hemi","ausente","membranacea",0.8581428571,25,"abundant",-7.24459116789795,-7.0549275709956
"sp032","MR1200",0,"MR",1200,"hemi","ausente","membranacea",0.8581428571,26,"abundant",-7.32923859981058,-7.0213851359786
"sp032","PR1200",0,"PR",1200,"hemi","ausente","membranacea",0.8581428571,27,"abundant",-6.83582259053388,-6.96395844788664
"sp032","GR1400",0,"GR",1400,"hemi","ausente","membranacea",1.001,28,"abundant",-11.4749545840031,-11.8528777050449
"sp032","MR1400",0,"MR",1400,"hemi","ausente","membranacea",1.001,29,"abundant",-11.7977551959468,-11.8942983159222
"sp032","PR1400",0,"PR",1400,"hemi","ausente","membranacea",1.001,30,"abundant",-12.1936669092685,-11.9047720721922
"sp037","GR00",0,"GR",0,"ep","presente","coriacea",0.001,1,"abundant",-5.65855830430108,-5.4728468095146
"sp037","MR00",0,"MR",0,"ep","presente","coriacea",0.001,2,"abundant",-5.35562005188569,-5.3524518743521
"sp037","PR00",0,"PR",0,"ep","presente","coriacea",0.001,3,"abundant",-5.14853954036008,-5.53013004132623
"sp037","GR010",0,"GR",10,"ep","presente","coriacea",0.0081428571,4,"abundant",-5.53230808360193,-5.57018780813116
"sp037","MR010",0,"MR",10,"ep","presente","coriacea",0.0081428571,5,"abundant",-5.72997212584526,-5.55145613796217
"sp037","PR010",0,"PR",10,"ep","presente","coriacea",0.0081428571,6,"abundant",-5.90954488958777,-5.62903685152775
"sp037","GR50",0,"GR",50,"ep","presente","coriacea",0.0367142857,7,"abundant",-5.63818033235327,-5.91202756775278
"sp037","MR50",0,"MR",50,"ep","presente","coriacea",0.0367142857,8,"abundant",-5.65341471268686,-5.79961381833936
"sp037","PR50",0,"PR",50,"ep","presente","coriacea",0.0367142857,9,"abundant",-6.03417464963684,-5.86108203621966
"sp037","GR200",0,"GR",200,"ep","presente","coriacea",0.1438571429,10,"abundant",-7.13846180872824,-6.92997053116181
"sp037","MR200",0,"MR",200,"ep","presente","coriacea",0.1438571429,11,"abundant",-7.23870507678621,-7.01535432845974
"sp037","PR200",0,"PR",200,"ep","presente","coriacea",0.1438571429,12,"abundant",-6.8898576599314,-6.89829894105535
"sp037","GR400",0,"GR",400,"ep","presente","coriacea",0.2867142857,13,"abundant",-7.40029541781388,-7.66003766041912
"sp037","MR400",0,"MR",400,"ep","presente","coriacea",0.2867142857,14,"abundant",-7.87757326180269,-7.60922867946895
"sp037","PR400",0,"PR",400,"ep","presente","coriacea",0.2867142857,15,"abundant",-7.88597711683025,-7.65308583093934
"sp037","GR600",0,"GR",600,"ep","presente","coriacea",0.4295714286,16,"abundant",-7.70613028653977,-7.54176533336455
"sp037","MR600",0,"MR",600,"ep","presente","coriacea",0.4295714286,17,"abundant",-7.62373399474507,-7.63497033040681
"sp037","PR600",0,"PR",600,"ep","presente","coriacea",0.4295714286,18,"abundant",-7.72752463277643,-7.59842423265055
"sp037","GR800",0,"GR",800,"ep","presente","coriacea",0.5724285714,19,"abundant",-6.93778783393519,-6.91319439061534
"sp037","MR800",0,"MR",800,"ep","presente","coriacea",0.5724285714,20,"abundant",-7.26610888441963,-6.85267800699165
"sp037","PR800",0,"PR",800,"ep","presente","coriacea",0.5724285714,21,"abundant",-7.01807162700841,-6.83356091975591
"sp037","GR1000",0,"GR",1000,"ep","presente","coriacea",0.7152857143,22,"abundant",-5.46677285931763,-5.3966337782671
"sp037","MR1000",0,"MR",1000,"ep","presente","coriacea",0.7152857143,23,"abundant",-5.42281283150501,-5.33114128702055
"sp037","PR1000",0,"PR",1000,"ep","presente","coriacea",0.7152857143,24,"abundant",-5.34099229522558,-5.35987992141404
"sp037","GR1200",50,"GR",1200,"ep","presente","coriacea",0.8581428571,25,"abundant",4.00217828187409,-3.16666191808606
"sp037","MR1200",3,"MR",1200,"ep","presente","coriacea",0.8581428571,26,"abundant",1.08989884635816,-3.15562902829534
"sp037","PR1200",166,"PR",1200,"ep","presente","coriacea",0.8581428571,27,"abundant",5.14877067529557,-3.19312957889972
"sp037","GR1400",110,"GR",1400,"ep","presente","coriacea",1.001,28,"abundant",4.63743612626396,-0.281859805679059
"sp037","MR1400",2,"MR",1400,"ep","presente","coriacea",1.001,29,"abundant",0.656958836456401,-0.23380836599378
"sp037","PR1400",71,"PR",1400,"ep","presente","coriacea",1.001,30,"abundant",4.15275165319413,-0.246416004979607
"sp044","GR00",0,"GR",0,"ter","ausente","membranacea",0.001,1,"abundant",-5.71714137215742,-5.98899724539931
"sp044","MR00",0,"MR",0,"ter","ausente","membranacea",0.001,2,"abundant",-6.59212158996544,-6.06225709128981
"sp044","PR00",0,"PR",0,"ter","ausente","membranacea",0.001,3,"abundant",-6.07262201933692,-6.05429436069126
"sp044","GR010",0,"GR",10,"ter","ausente","membranacea",0.0081428571,4,"abundant",-5.9231499716444,-5.89425643166031
"sp044","MR010",0,"MR",10,"ter","ausente","membranacea",0.0081428571,5,"abundant",-6.27934070674416,-5.88605967173327
"sp044","PR010",0,"PR",10,"ter","ausente","membranacea",0.0081428571,6,"abundant",-6.46396818267313,-5.9465605715796
"sp044","GR50",0,"GR",50,"ter","ausente","membranacea",0.0367142857,7,"abundant",-5.44631330353083,-5.51210564019497
"sp044","MR50",0,"MR",50,"ter","ausente","membranacea",0.0367142857,8,"abundant",-5.54470421443334,-5.54620272271199
"sp044","PR50",3,"PR",50,"ter","ausente","membranacea",0.0367142857,9,"abundant",1.04245782772414,-5.48045436918243
"sp044","GR200",2,"GR",200,"ter","ausente","membranacea",0.1438571429,10,"abundant",0.662093864348906,-4.07450188812876
"sp044","MR200",1,"MR",200,"ter","ausente","membranacea",0.1438571429,11,"abundant",-0.138335707599627,-4.13827398415419
"sp044","PR200",4,"PR",200,"ter","ausente","membranacea",0.1438571429,12,"abundant",1.33554978659518,-4.04307784038712
"sp044","GR400",10,"GR",400,"ter","ausente","membranacea",0.2867142857,13,"abundant",2.196879580702,-2.86263454460081
"sp044","MR400",1,"MR",400,"ter","ausente","membranacea",0.2867142857,14,"abundant",-0.0980265801796414,-2.84075378028907
