area_code,species,abundance,mountain,altitude,life_form,indumentum,thickness,alt_std
MR1000,sp006,0,MR,1000,ep,ausente,coriacea,0.7152857143
PR1000,sp006,0,PR,1000,ep,ausente,coriacea,0.7152857143
GR1200,sp006,0,GR,1200,ep,ausente,coriacea,0.8581428571
MR1200,sp006,0,MR,1200,ep,ausente,coriacea,0.8581428571
PR1200,sp006,0,PR,1200,ep,ausente,coriacea,0.8581428571
GR1400,sp006,0,GR,1400,ep,ausente,coriacea,1.001
MR1400,sp006,0,MR,1400,ep,ausente,coriacea,1.001
PR1400,sp006,0,PR,1400,ep,ausente,coriacea,1.001
GR00,sp007,0,GR,0,ter,presente,coriacea,0.001
MR00,sp007,0,MR,0,ter,presente,coriacea,0.001
PR00,sp007,0,PR,0,ter,presente,coriacea,0.001
GR010,sp007,0,GR,10,ter,presente,coriacea,0.0081428571
MR010,sp007,0,MR,10,ter,presente,coriacea,0.0081428571
PR010,sp007,0,PR,10,ter,presente,coriacea,0.0081428571
GR50,sp007,0,GR,50,ter,presente,coriacea,0.0367142857
MR50,sp007,0,MR,50,ter,presente,coriacea,0.0367142857
PR50,sp007,0,PR,50,ter,presente,coriacea,0.0367142857
GR200,sp007,0,GR,200,ter,presente,coriacea,0.1438571429
MR200,sp007,0,MR,200,ter,presente,coriacea,0.1438571429
PR200,sp007,0,PR,200,ter,presente,coriacea,0.1438571429
GR400,sp007,0,GR,400,ter,presente,coriacea,0.2867142857
MR400,sp007,0,MR,400,ter,presente,coriacea,0.2867142857
PR400,sp007,0,PR,400,ter,presente,coriacea,0.2867142857
GR600,sp007,0,GR,600,ter,presente,coriacea,0.4295714286
MR600,sp007,0,MR,600,ter,presente,coriacea,0.4295714286
PR600,sp007,0,PR,600,ter,presente,coriacea,0.4295714286
GR800,sp007,0,GR,800,ter,presente,coriacea,0.5724285714
MR800,sp007,0,MR,800,ter,presente,coriacea,0.5724285714
PR800,sp007,0,PR,800,ter,presente,coriacea,0.5724285714
GR1000,sp007,0,GR,1000,ter,presente,coriacea,0.7152857143
MR1000,sp007,0,MR,1000,ter,presente,coriacea,0.7152857143
PR1000,sp007,0,PR,1000,ter,presente,coriacea,0.7152857143
GR1200,sp007,0,GR,1200,ter,presente,coriacea,0.8581428571
MR1200,sp007,0,MR,1200,ter,presente,coriacea,0.8581428571
PR1200,sp007,0,PR,1200,ter,presente,coriacea,0.8581428571
GR1400,sp007,0,GR,1400,ter,presente,coriacea,1.001
MR1400,sp007,2,MR,1400,ter,presente,coriacea,1.001
PR1400,sp007,0,PR,1400,ter,presente,coriacea,1.001
GR00,sp008,0,GR,0,ep,presente,coriacea,0.001
MR00,sp008,0,MR,0,ep,presente,coriacea,0.001
PR00,sp008,0,PR,0,ep,presente,coriacea,0.001
GR010,sp008,0,GR,10,ep,presente,coriacea,0.0081428571
MR010,sp008,0,MR,10,ep,presente,coriacea,0.0081428571
PR010,sp008,0,PR,10,ep,presente,coriacea,0.0081428571
GR50,sp008,0,GR,50,ep,presente,coriacea,0.0367142857
MR50,sp008,0,MR,50,ep,presente,coriacea,0.0367142857
PR50,sp008,0,PR,50,ep,presente,coriacea,0.0367142857
GR200,sp008,0,GR,200,ep,presente,coriacea,0.1438571429
MR200,sp008,0,MR,200,ep,presente,coriacea,0.1438571429
PR200,sp008,0,PR,200,ep,presente,coriacea,0.1438571429
GR400,sp008,0,GR,400,ep,presente,coriacea,0.2867142857
MR400,sp008,0,MR,400,ep,presente,coriacea,0.2867142857
PR400,sp008,0,PR,400,ep,presente,coriacea,0.2867142857
GR600,sp008,0,GR,600,ep,presente,coriacea,0.4295714286
MR600,sp008,0,MR,600,ep,presente,coriacea,0.4295714286
PR600,sp008,0,PR,600,ep,presente,coriacea,0.4295714286
GR800,sp008,3,GR,800,ep,presente,coriacea,0.5724285714
MR800,sp008,0,MR,800,ep,presente,coriacea,0.5724285714
PR800,sp008,0,PR,800,ep,presente,coriacea,0.5724285714
GR1000,sp008,0,GR,1000,ep,presente,coriacea,0.7152857143
MR1000,sp008,13,MR,1000,ep,presente,coriacea,0.7152857143
PR1000,sp008,0,PR,1000,ep,presente,coriacea,0.7152857143
GR1200,sp008,0,GR,1200,ep,presente,coriacea,0.8581428571
MR1200,sp008,0,MR,1200,ep,presente,coriacea,0.8581428571
PR1200,sp008,0,PR,1200,ep,presente,coriacea,0.8581428571
GR1400,sp008,0,GR,1400,ep,presente,coriacea,1.001
MR1400,sp008,0,MR,1400,ep,presente,coriacea,1.001
PR1400,sp008,0,PR,1400,ep,presente,coriacea,1.001
GR00,sp009,0,GR,0,ter,presente,coriacea,0.001
MR00,sp009,0,MR,0,ter,presente,coriacea,0.001
PR00,sp009,0,PR,0,ter,presente,coriacea,0.001
GR010,sp009,0,GR,10,ter,presente,coriacea,0.0081428571
MR010,sp009,0,MR,10,ter,presente,coriacea,0.0081428571
PR010,sp009,0,PR,10,ter,presente,coriacea,0.0081428571
GR50,sp009,0,GR,50,ter,presente,coriacea,0.0367142857
MR50,sp009,0,MR,50,ter,presente,coriacea,0.0367142857
PR50,sp009,0,PR,50,ter,presente,coriacea,0.0367142857
GR200,sp009,0,GR,200,ter,presente,coriacea,0.1438571429
MR200,sp009,0,MR,200,ter,presente,coriacea,0.1438571429
PR200,sp009,0,PR,200,ter,presente,coriacea,0.1438571429
GR400,sp009,0,GR,400,ter,presente,coriacea,0.2867142857
MR400,sp009,0,MR,400,ter,presente,coriacea,0.2867142857
PR400,sp009,0,PR,400,ter,presente,coriacea,0.2867142857
GR600,sp009,0,GR,600,ter,presente,coriacea,0.4295714286
MR600,sp009,0,MR,600,ter,presente,coriacea,0.4295714286
PR600,sp009,0,PR,600,ter,presente,coriacea,0.4295714286
GR800,sp009,0,GR,800,ter,presente,coriacea,0.5724285714
MR800,sp009,3,MR,800,ter,presente,coriacea,0.5724285714
PR800,sp009,0,PR,800,ter,presente,coriacea,0.5724285714
GR1000,sp009,0,GR,1000,ter,presente,coriacea,0.7152857143
MR1000,sp009,0,MR,1000,ter,presente,coriacea,0.7152857143
PR1000,sp009,0,PR,1000,ter,presente,coriacea,0.7152857143
GR1200,sp009,0,GR,1200,ter,presente,coriacea,0.8581428571
MR1200,sp009,0,MR,1200,ter,presente,coriacea,0.8581428571
PR1200,sp009,0,PR,1200,ter,presente,coriacea,0.8581428571
GR1400,sp009,0,GR,1400,ter,presente,coriacea,1.001
MR1400,sp009,0,MR,1400,ter,presente,coriacea,1.001
PR1400,sp009,0,PR,1400,ter,presente,coriacea,1.001
GR00,sp010,0,GR,0,ep,ausente,membranacea,0.001
MR00,sp010,0,MR,0,ep,ausente,membranacea,0.001
PR00,sp010,0,PR,0,ep,ausente,membranacea,0.001
GR010,sp010,0,GR,10,ep,ausente,membranacea,0.0081428571
MR010,sp010,0,MR,10,ep,ausente,membranacea,0.0081428571
PR010,sp010,0,PR,10,ep,ausente,membranacea,0.0081428571
GR50,sp010,0,GR,50,ep,ausente,membranacea,0.0367142857
MR50,sp010,0,MR,50,ep,ausente,membranacea,0.0367142857
PR50,sp010,0,PR,50,ep,ausente,membranacea,0.0367142857
GR200,sp010,0,GR,200,ep,ausente,membranacea,0.1438571429
MR200,sp010,0,MR,200,ep,ausente,membranacea,0.1438571429
PR200,sp010,0,PR,200,ep,ausente,membranacea,0.1438571429
GR400,sp010,1,GR,400,ep,ausente,membranacea,0.2867142857
MR400,sp010,0,MR,400,ep,ausente,membranacea,0.2867142857
PR400,sp010,0,PR,400,ep,ausente,membranacea,0.2867142857
GR600,sp010,0,GR,600,ep,ausente,membranacea,0.4295714286
MR600,sp010,0,MR,600,ep,ausente,membranacea,0.4295714286
PR600,sp010,0,PR,600,ep,ausente,membranacea,0.4295714286
GR800,sp010,19,GR,800,ep,ausente,membranacea,0.5724285714
MR800,sp010,0,MR,800,ep,ausente,membranacea,0.5724285714
PR800,sp010,0,PR,800,ep,ausente,membranacea,0.5724285714
GR1000,sp010,0,GR,1000,ep,ausente,membranacea,0.7152857143
MR1000,sp010,3,MR,1000,ep,ausente,membranacea,0.7152857143
PR1000,sp010,0,PR,1000,ep,ausente,membranacea,0.7152857143
GR1200,sp010,0,GR,1200,ep,ausente,membranacea,0.8581428571
MR1200,sp010,0,MR,1200,ep,ausente,membranacea,0.8581428571
PR1200,sp010,0,PR,1200,ep,ausente,membranacea,0.8581428571
GR1400,sp010,0,GR,1400,ep,ausente,membranacea,1.001
MR1400,sp010,0,MR,1400,ep,ausente,membranacea,1.001
PR1400,sp010,0,PR,1400,ep,ausente,membranacea,1.001
GR00,sp011,0,GR,0,ep,ausente,coriacea,0.001
MR00,sp011,0,MR,0,ep,ausente,coriacea,0.001
PR00,sp011,0,PR,0,ep,ausente,coriacea,0.001
GR010,sp011,0,GR,10,ep,ausente,coriacea,0.0081428571
MR010,sp011,0,MR,10,ep,ausente,coriacea,0.0081428571
PR010,sp011,0,PR,10,ep,ausente,coriacea,0.0081428571
GR50,sp011,0,GR,50,ep,ausente,coriacea,0.0367142857
MR50,sp011,0,MR,50,ep,ausente,coriacea,0.0367142857
PR50,sp011,0,PR,50,ep,ausente,coriacea,0.0367142857
GR200,sp011,0,GR,200,ep,ausente,coriacea,0.1438571429
MR200,sp011,0,MR,200,ep,ausente,coriacea,0.1438571429
PR200,sp011,0,PR,200,ep,ausente,coriacea,0.1438571429
GR400,sp011,0,GR,400,ep,ausente,coriacea,0.2867142857
MR400,sp011,0,MR,400,ep,ausente,coriacea,0.2867142857
PR400,sp011,0,PR,400,ep,ausente,coriacea,0.2867142857
GR600,sp011,0,GR,600,ep,ausente,coriacea,0.4295714286
MR600,sp011,0,MR,600,ep,ausente,coriacea,0.4295714286
PR600,sp011,0,PR,600,ep,ausente,coriacea,0.4295714286
GR800,sp011,0,GR,800,ep,ausente,coriacea,0.5724285714
MR800,sp011,0,MR,800,ep,ausente,coriacea,0.5724285714
PR800,sp011,0,PR,800,ep,ausente,coriacea,0.5724285714
GR1000,sp011,0,GR,1000,ep,ausente,coriacea,0.7152857143
MR1000,sp011,0,MR,1000,ep,ausente,coriacea,0.7152857143
PR1000,sp011,0,PR,1000,ep,ausente,coriacea,0.7152857143
GR1200,sp011,0,GR,1200,ep,ausente,coriacea,0.8581428571
MR1200,sp011,4,MR,1200,ep,ausente,coriacea,0.8581428571
PR1200,sp011,0,PR,1200,ep,ausente,coriacea,0.8581428571
GR1400,sp011,0,GR,1400,ep,ausente,coriacea,1.001
MR1400,sp011,0,MR,1400,ep,ausente,coriacea,1.001
PR1400,sp011,0,PR,1400,ep,ausente,coriacea,1.001
GR00,sp012,0,GR,0,ter,ausente,membranacea,0.001
MR00,sp012,0,MR,0,ter,ausente,membranacea,0.001
PR00,sp012,0,PR,0,ter,ausente,membranacea,0.001
GR010,sp012,0,GR,10,ter,ausente,membranacea,0.0081428571
MR010,sp012,0,MR,10,ter,ausente,membranacea,0.0081428571
PR010,sp012,0,PR,10,ter,ausente,membranacea,0.0081428571
GR50,sp012,0,GR,50,ter,ausente,membranacea,0.0367142857
MR50,sp012,0,MR,50,ter,ausente,membranacea,0.0367142857
PR50,sp012,0,PR,50,ter,ausente,membranacea,0.0367142857
GR200,sp012,16,GR,200,ter,ausente,membranacea,0.1438571429
MR200,sp012,11,MR,200,ter,ausente,membranacea,0.1438571429
PR200,sp012,0,PR,200,ter,ausente,membranacea,0.1438571429
GR400,sp012,2,GR,400,ter,ausente,membranacea,0.2867142857
MR400,sp012,0,MR,400,ter,ausente,membranacea,0.2867142857
PR400,sp012,0,PR,400,ter,ausente,membranacea,0.2867142857
GR600,sp012,19,GR,600,ter,ausente,membranacea,0.4295714286
MR600,sp012,1,MR,600,ter,ausente,membranacea,0.4295714286
PR600,sp012,0,PR,600,ter,ausente,membranacea,0.4295714286
GR800,sp012,250,GR,800,ter,ausente,membranacea,0.5724285714
MR800,sp012,19,MR,800,ter,ausente,membranacea,0.5724285714
PR800,sp012,0,PR,800,ter,ausente,membranacea,0.5724285714
GR1000,sp012,0,GR,1000,ter,ausente,membranacea,0.7152857143
MR1000,sp012,165,MR,1000,ter,ausente,membranacea,0.7152857143
PR1000,sp012,0,PR,1000,ter,ausente,membranacea,0.7152857143
GR1200,sp012,0,GR,1200,ter,ausente,membranacea,0.8581428571
MR1200,sp012,0,MR,1200,ter,ausente,membranacea,0.8581428571
PR1200,sp012,0,PR,1200,ter,ausente,membranacea,0.8581428571
GR1400,sp012,0,GR,1400,ter,ausente,membranacea,1.001
MR1400,sp012,0,MR,1400,ter,ausente,membranacea,1.001
PR1400,sp012,0,PR,1400,ter,ausente,membranacea,1.001
GR00,sp013,0,GR,0,ter,ausente,membranacea,0.001
MR00,sp013,0,MR,0,ter,ausente,membranacea,0.001
PR00,sp013,0,PR,0,ter,ausente,membranacea,0.001
GR010,sp013,8,GR,10,ter,ausente,membranacea,0.0081428571
MR010,sp013,0,MR,10,ter,ausente,membranacea,0.0081428571
PR010,sp013,0,PR,10,ter,ausente,membranacea,0.0081428571
GR50,sp013,0,GR,50,ter,ausente,membranacea,0.0367142857
MR50,sp013,0,MR,50,ter,ausente,membranacea,0.0367142857
PR50,sp013,0,PR,50,ter,ausente,membranacea,0.0367142857
GR200,sp013,0,GR,200,ter,ausente,membranacea,0.1438571429
MR200,sp013,0,MR,200,ter,ausente,membranacea,0.1438571429
PR200,sp013,0,PR,200,ter,ausente,membranacea,0.1438571429
GR400,sp013,0,GR,400,ter,ausente,membranacea,0.2867142857
MR400,sp013,0,MR,400,ter,ausente,membranacea,0.2867142857
PR400,sp013,0,PR,400,ter,ausente,membranacea,0.2867142857
GR600,sp013,0,GR,600,ter,ausente,membranacea,0.4295714286
MR600,sp013,0,MR,600,ter,ausente,membranacea,0.4295714286
PR600,sp013,0,PR,600,ter,ausente,membranacea,0.4295714286
GR800,sp013,0,GR,800,ter,ausente,membranacea,0.5724285714
MR800,sp013,0,MR,800,ter,ausente,membranacea,0.5724285714
PR800,sp013,0,PR,800,ter,ausente,membranacea,0.5724285714
GR1000,sp013,0,GR,1000,ter,ausente,membranacea,0.7152857143
MR1000,sp013,0,MR,1000,ter,ausente,membranacea,0.7152857143
PR1000,sp013,0,PR,1000,ter,ausente,membranacea,0.7152857143
GR1200,sp013,0,GR,1200,ter,ausente,membranacea,0.8581428571
MR1200,sp013,0,MR,1200,ter,ausente,membranacea,0.8581428571
PR1200,sp013,0,PR,1200,ter,ausente,membranacea,0.8581428571
GR1400,sp013,0,GR,1400,ter,ausente,membranacea,1.001
MR1400,sp013,0,MR,1400,ter,ausente,membranacea,1.001
PR1400,sp013,0,PR,1400,ter,ausente,membranacea,1.001
GR00,sp014,0,GR,0,ter,ausente,membranacea,0.001
MR00,sp014,0,MR,0,ter,ausente,membranacea,0.001
PR00,sp014,0,PR,0,ter,ausente,membranacea,0.001
GR010,sp014,0,GR,10,ter,ausente,membranacea,0.0081428571
MR010,sp014,0,MR,10,ter,ausente,membranacea,0.0081428571
PR010,sp014,0,PR,10,ter,ausente,membranacea,0.0081428571
GR50,sp014,0,GR,50,ter,ausente,membranacea,0.0367142857
MR50,sp014,0,MR,50,ter,ausente,membranacea,0.0367142857
PR50,sp014,0,PR,50,ter,ausente,membranacea,0.0367142857
GR200,sp014,0,GR,200,ter,ausente,membranacea,0.1438571429
MR200,sp014,0,MR,200,ter,ausente,membranacea,0.1438571429
PR200,sp014,0,PR,200,ter,ausente,membranacea,0.1438571429
GR400,sp014,0,GR,400,ter,ausente,membranacea,0.2867142857
MR400,sp014,0,MR,400,ter,ausente,membranacea,0.2867142857
PR400,sp014,0,PR,400,ter,ausente,membranacea,0.2867142857
GR600,sp014,0,GR,600,ter,ausente,membranacea,0.4295714286
MR600,sp014,0,MR,600,ter,ausente,membranacea,0.4295714286
PR600,sp014,0,PR,600,ter,ausente,membranacea,0.4295714286
GR800,sp014,0,GR,800,ter,ausente,membranacea,0.5724285714
MR800,sp014,31,MR,800,ter,ausente,membranacea,0.5724285714
PR800,sp014,0,PR,800,ter,ausente,membranacea,0.5724285714
GR1000,sp014,0,GR,1000,ter,ausente,membranacea,0.7152857143
MR1000,sp014,1,MR,1000,ter,ausente,membranacea,0.7152857143
PR1000,sp014,0,PR,1000,ter,ausente,membranacea,0.7152857143
